date,calcio,green pass,smart working,olio di oliva,cambiamento climatico
2019-12-31,38.0,0.0,0.0,23.0,0.25
2020-01-31,42.75,0.0,0.0,22.25,0.0
2020-02-29,39.5,0.0,4.75,20.0,0.0
2020-03-31,18.8,0.0,65.0,27.2,0.0
2020-04-30,12.5,0.0,33.25,31.0,0.0
2020-05-31,14.6,0.0,32.8,22.0,0.0
2020-06-30,28.75,0.0,23.75,22.25,0.0
2020-07-31,36.75,0.0,31.5,16.5,0.0
2020-08-31,33.8,0.0,17.2,16.6,0.0
2020-09-30,38.25,0.0,20.0,24.0,0.25
2020-10-31,39.0,0.0,43.25,39.25,0.0
2020-11-30,28.6,0.0,22.2,53.2,0.4
2020-12-31,30.5,0.0,10.0,28.25,0.5
2021-01-31,33.8,0.0,13.4,21.0,0.2
2021-02-28,32.5,0.0,15.75,24.75,0.0
2021-03-31,33.0,0.0,20.5,24.0,0.25
2021-04-30,31.25,0.5,26.5,19.75,0.0
2021-05-31,34.6,5.4,13.2,19.4,0.2
2021-06-30,47.75,13.5,13.0,16.0,0.0
2021-07-31,36.5,48.75,7.5,14.75,0.0
2021-08-31,39.4,54.4,8.4,22.0,0.0
2021-09-30,46.75,36.75,27.0,21.25,0.0
2021-10-31,43.8,32.6,23.8,36.2,0.4
2021-11-30,42.5,27.75,11.75,36.0,0.0
2021-12-31,34.25,36.25,18.0,20.0,0.25
2022-01-31,31.6,53.6,20.6,22.4,0.6
2022-02-28,38.25,24.5,16.0,21.0,0.5
2022-03-31,41.25,21.25,30.25,25.75,0.75
2022-04-30,43.0,12.5,11.75,24.25,26.0
2022-05-31,45.0,4.0,10.6,24.4,0.6
2022-06-30,40.75,2.5,12.0,24.5,0.5
2022-07-31,34.0,3.0,13.2,21.6,0.4
2022-08-31,42.5,2.0,19.0,27.0,0.5
2022-09-30,42.5,1.5,21.75,22.0,0.5
2022-10-31,42.4,1.8,9.6,57.6,0.6
2022-11-30,57.25,1.25,7.5,60.0,1.0
2022-12-31,46.75,1.5,19.75,30.75,0.5
2023-01-31,37.6,0.6,8.6,29.8,0.8
2023-02-28,39.75,0.0,14.0,26.0,1.0
2023-03-31,42.0,0.0,7.5,27.75,0.5
2023-04-30,43.4,0.0,7.2,27.6,8.8
2023-05-31,41.75,0.0,7.25,24.75,1.5
2023-06-30,45.0,0.25,16.5,27.25,0.75
2023-07-31,40.0,0.0,6.8,28.8,0.8
2023-08-31,43.75,0.0,2.75,29.0,0.0
2023-09-30,53.25,0.0,8.75,35.25,0.0
2023-10-31,47.6,0.0,4.8,55.0,0.8
2023-11-30,43.0,0.0,11.75,65.75,0.5
2023-12-31,38.4,0.0,11.8,36.0,0.4
2024-01-31,43.25,0.0,6.0,24.75,1.0
2024-02-29,35.75,0.0,9.5,24.75,0.5
2024-03-31,35.6,0.2,9.8,24.2,0.2
2024-04-30,36.0,0.0,5.25,27.75,16.5
2024-05-31,38.0,0.0,3.0,28.5,0.75
2024-06-30,74.0,0.0,5.2,21.2,0.0
2024-07-31,38.0,0.0,5.5,26.0,0.25
2024-08-31,40.5,0.0,1.25,24.75,0.0
2024-09-30,42.4,0.0,4.6,30.4,0.2
2024-10-31,37.5,0.0,3.5,61.75,0.5
2024-11-30,34.0,0.0,7.75,82.25,0.5
2024-12-31,48.5,0.0,3.5,50.0,1.0
